time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20230301T000000,AAPL,Why Target says 2022 was rougher than 2020,Supermarket News,0.102576,Neutral,0.234736,0.627626
20230301T153845,AAPL,SFY Top Holdings List & Exposure (SoFi Select 500 ETF),MarketBeat,0.145024,Neutral,0.129794,0.712373
20230301T235203,AAPL,IWV Top Holdings List & Exposure (iShares Russell 3000 ETF),MarketBeat,0.272344,Somewhat-Bullish,0.139493,0.861887
20230302T025916,AAPL,The 10 most innovative companies in augmented and virtual reality of 2023,Fast Company,0.259685,Somewhat-Bullish,0.417390,0.744433
20230302T160000,AAPL,PNC Bank ends business relationship with Donald Trump Jr's MxM News app company 'without cause',Fox News,0.057093,Neutral,0.111285,0.643126
20230303T000000,AAPL,VT vs ACWI ETF: Which is the Best World ETF?,Dr Wealth,0.212742,Somewhat-Bullish,0.240973,0.704589
20230303T023559,AAPL,IBM Stock: What Is the Highest Price It Has Ever Been?,GOBankingRates,-0.077936,Neutral,-0.108257,0.642234
20230303T024020,AAPL,GLOF Top Holdings List & Exposure (iShares Global Equity Factor ETF),MarketBeat,0.101563,Neutral,0.101780,0.704182
20230303T030141,AAPL,WEBTOON and LINE Studio Announce March 14 Launch Date for the True Beauty Mobile Puzzle Game,Business Wire,0.24952,Somewhat-Bullish,0.204909,0.601807
20230303T051000,AAPL,IOO: Some Reasons To Stay Faithful Despite The Long Fall Ahead (NYSEARCA:IOO),Seeking Alpha,-0.067357,Neutral,-0.126612,0.647258
20230303T090100,AAPL,British chip giant Arm chooses New York listing in a blow to London,CNBC,0.07717,Neutral,0.151156,0.743420
20230305T140000,AAPL,"Apple Readies Its Next Range of Macs, Including — Finally — a New iMac",Bloomberg.com,0.244674,Somewhat-Bullish,0.216141,1.000000
20230306T174155,AAPL,SUSA Top Holdings List & Exposure (iShares MSCI USA ESG Select ETF),MarketBeat,0.362473,Bullish,0.313795,0.742364
20230307T021527,AAPL,TSMC customer billed NT$529bn,Taipei Times,0.101576,Neutral,0.121634,0.906261
20230307T060000,AAPL,"Sonos CEO Patrick Spence on right to repair, spatial audio and those never-ending lawsuits",TechCrunch,0.081051,Neutral,0.224170,0.637288
20230307T143114,AAPL,Virtual try-on is being hit by class actions. Should brands worry?,Vogue Business,-0.050079,Neutral,0.138912,0.643130
20230309T021332,AAPL,Apple and Foxconn efforts win labour reforms to advance Indian production plans - FT,Reuters,0.424606,Bullish,0.422669,1.000000
20230309T025524,AAPL,Sonos Bets on Spatial Audio as a Key Brand Differentiator,TechNewsWorld,0.247173,Somewhat-Bullish,0.139900,0.729866
20230310T000000,AAPL,Apple Inc. to Launch Apple Music Classical App,The Violin Channel,-0.058762,Neutral,-0.077665,1.000000
20230312T022344,AAPL,Four Ways to Cluster based on Correlation,DataDrivenInvestor,0.122412,Neutral,0.105633,0.931778
