time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20240501T000000,META,Alphabet's First Dividend: What You Need to Know,Morningstar Canada,0.203254,Somewhat-Bullish,0.346295,0.969760
20240501T191300,META,Calamos launches first ETF from planned suite seeking 100% downside protection,Pensions & Investments,0.072466,Neutral,0.123675,0.600998
20240502T163903,META,Entravision Communications Corporation Reports First Quarter 2024 Results,The AI Journal,-0.196977,Somewhat-Bearish,-0.143992,0.630437
20240506T050000,META,Pinterest Users Should Be Marketers’ Secret Weapon,Morning Consult Pro,0.332246,Somewhat-Bullish,0.110382,0.631617
20240508T000000,META,Can Crowding Scores Quantify US Stocks’ Fragility?,MSCI,0.088677,Neutral,0.042859,0.618081
20240509T000000,META,Tech Stock Dividends Are Changing the Face of Dividend Growth Investing,Morningstar,0.312138,Somewhat-Bullish,0.293660,0.770693
20240509T135003,META,Corporations buy into sustainable fuel certificates to address air travel emissions,Trellis Group (formerly GreenBiz),0.090445,Neutral,0.133035,0.639958
20240510T141528,META,The Digital Markets Act Roundup: March 2024,Tech Policy Press,-0.079751,Neutral,-0.227152,0.635933
20240513T141659,META,Alternatives to LinkedIn Ads: Best Advertising Platforms,Taboola.com,0.294249,Somewhat-Bullish,0.225798,0.614146
20240515T000000,META,Target leans into brand love — with humor — in new marketing campaign,Chain Store Age,0.218152,Somewhat-Bullish,0.123252,0.589772
20240515T000000,META,"After Earnings, Is Arista Stock a Buy, a Sell, or Fairly Valued?",Morningstar,0.064277,Neutral,0.044633,0.625818
20240515T141729,META,Navigating the Cookieless Era Part 5: What is Cohort Marketing? Google Privacy Sandbox and Seller-Defined Audiences,Outbrain,0.017861,Neutral,0.047284,0.716771
20240515T151100,META,Google Glass Making A Comeback? New Prototype AR Glasses Make A Cameo Appearance At I/O 2024,Sahm,0.214405,Somewhat-Bullish,0.172143,0.615270
20240516T143000,META,Stream Dream Team: 3 Media Stocks Conquering the Content Cosmos,InvestorPlace,0.387256,Bullish,0.340591,0.644027
20240522T140440,META,Nvidia shares jump 4% as the AI boom fuels another blockbuster quarter and better-than-expected forecast,Fortune,0.342325,Somewhat-Bullish,0.342195,0.604307
20240522T141855,META,"New IBM Watsonx GenAI focuses on enterprises, governance",TechTarget,0.121449,Neutral,0.125728,0.638926
20240522T145700,META,Autodesk (ADSK) Acquires Wonder Dynamics for 3D Animation & VFX,Yahoo Finance,0.180579,Somewhat-Bullish,0.191039,0.629331
20240523T140000,META,Live Nation Entertainment Stock Tumbles as DOJ Announces Antitrust Suit,Investopedia,-0.171563,Somewhat-Bearish,-0.120745,0.615109
20240526T000000,META,"Anant Ambani, Radhika Merchants guests to get personalised gift at wedding",Geo TV,0.202678,Somewhat-Bullish,0.317487,0.619693
20240529T000000,META,AWS and SAP Unlock New Innovation with Generative AI,SAP News Center,0.348519,Somewhat-Bullish,0.240338,0.579522
20240529T112700,META,"If You Can Only Buy One Metaverse Stock in May, It Better Be One of These 3 Names",InvestorPlace,0.254257,Somewhat-Bullish,0.309935,0.901728
20240530T140010,META,Eddie Bauer Smart Eyewear collection includes voice access to ChatGPT,Retail Dive,-0.073944,Neutral,-0.105016,0.606272
20240531T090000,META,The AI Chatbot Can Help You Book That Mediterranean Cruise,Investor's Business Daily,0.246777,Somewhat-Bullish,0.231142,0.704356
