time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20240201T163200,AAPL,Apple Inc. stock underperforms Thursday when compared to competitors despite daily gains,MarketWatch,0.242433,Somewhat-Bullish,0.241791,0.938810
20240201T164107,AAPL,NEOS Nasdaq 100 High Income ETF,ETF Database,0.144187,Neutral,0.128427,0.625789
20240201T164407,AAPL,"Alcoa to supply Nexans with low-carbon aluminum, including metal from ELYSIS™ technology",Nexans,0.356846,Bullish,0.327527,0.704181
20240201T165148,AAPL,Box Brings Your Content to Life with the Box App for Apple Vision Pro,Business Wire,0.367834,Bullish,0.349467,0.744815
20240201T204205,AAPL,"Aptiv to cut stake in Motional, self-driving JV with Hyundai",KED Global,-0.474275,Bearish,-0.349932,0.625049
20240202T000000,AAPL,Disney Heads into the Future on the Apple Vision Pro,The Walt Disney Company,0.494422,Bullish,0.483289,1.000000
20240202T000000,AAPL,"Apple, Skechers fall; Amazon, Deckers Outdoor rise, Friday, 2/2/2024",Quartz,0.225098,Somewhat-Bullish,-0.312487,0.915044
20240202T000000,AAPL,Vishay Unveils New High-Speed Photodiode for Wearable Devices,AZoOptics,0.492155,Bullish,0.279419,0.572867
20240202T000000,AAPL,What Stock Investors Need to Know About Meta’s New Dividend,Morningstar,0.251645,Somewhat-Bullish,0.116982,0.627128
20240202T000000,AAPL,Markets Brief: Will the ‘Magnificent Seven’ Stocks Keep Carrying the Market After Earnings?,Morningstar,0.176192,Somewhat-Bullish,-0.152529,0.792602
20240202T133300,AAPL,Inside the JOET Rebalance,CNBC,0.298303,Somewhat-Bullish,0.397214,0.738872
20240203T110000,AAPL,These ETFs could help investors reduce Big Tech exposure,CNBC,0.168965,Somewhat-Bullish,0.104256,0.845327
20240205T171841,AAPL,What investors need to know about Meta’s new dividend,Morningstar Australia,0.13845,Neutral,0.112283,0.684864
20240206T174126,AAPL,¿Cuáles son los CEDEAR más elegidos por los argentinos?,iProUP,0.107505,Neutral,0.206568,0.814015
20240206T191800,AAPL,"ESPN, Fox, and Warner Bros. Discovery Team Up to Offer Joint Sports Streaming Service",Investopedia,0.239992,Somewhat-Bullish,0.111802,0.624888
20240207T042838,AAPL,ITOT ETF: Investing Well Doesn’t Have to Be Complicated,TipRanks,0.452932,Bullish,0.311445,0.626445
20240207T063352,AAPL,ITOT ETF: Investing Well Doesn’t Have to Be Complicated,Yahoo Finance,0.375775,Bullish,0.357470,0.648789
20240207T150925,AAPL,One Store attracts $50 mn investment from Digital Turbine,KED Global,0.102204,Neutral,-0.131114,0.602519
20240208T164451,AAPL,ADT welcomes Silicon Valley veteran Gilles Drieu as new CTO,Security Info Watch,0.195958,Somewhat-Bullish,0.117465,0.603508
20240208T184000,AAPL,"Apple defeats lawsuit claiming it overpaid CEO Tim Cook, others",Reuters,0.289607,Somewhat-Bullish,0.296782,1.000000
20240209T123955,AAPL,JGLO Stock Price | Jpmorgan Global Select Equity ETF,Investing.com,-0.012414,Neutral,0.045076,0.635389
20240209T165242,AAPL,DLN: Large-Cap Monthly Dividend Payer Not So Hot,Seeking Alpha,0.053609,Neutral,0.131724,0.719015
20240212T042900,AAPL,Nvidia Overtakes Amazon in Market Value,Bloomberg,0.155927,Somewhat-Bullish,0.062541,0.618680
