time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20230601T081500,AAPL,Apple Bets On The Emerging Markets Growth Story,Forbes,0.166938,Somewhat-Bullish,0.408388,0.970167
20230601T154631,AAPL,"Apple, Microsoft Boost the S&P 500 Amid Tech Comeback",ETF Trends,0.397718,Bullish,0.324592,0.736604
20230601T195953,AAPL,High Beta ETF 'SPHB' Lifted by Heavy Tech Sector Tilt,ETF Database,0.359318,Bullish,0.329741,0.639124
20230602T064600,AAPL,PayPal and Venmo users shouldn't store money on the apps long term,Fortune,0.135904,Neutral,0.134234,0.735265
20230602T091900,AAPL,Vimeo is tuning out its streaming TV apps,TechHive,0.053356,Neutral,0.004396,0.746551
20230602T145600,AAPL,"In challenge to Meta, Apple expected to unveil mixed-reality headset",Reuters,0.175256,Somewhat-Bullish,0.219355,1.000000
20230605T000000,AAPL,Introducing Apple Vision Pro: Apple’s first spatial computer,Apple,0.419334,Bullish,0.886875,1.000000
20230605T001401,AAPL,Is Temu Shopping App a Communist China-Based Scam That Spies on Users?,Snopes.com,-0.189798,Somewhat-Bearish,-0.113027,0.714931
20230606T235105,AAPL,Cisco Shows Breakthrough Innovation Towards AI-First Security Cloud,Cisco Newsroom,0.355833,Bullish,0.260665,0.743796
20230608T154631,AAPL,Big Tech Is Outpacing Small-Caps Amid Market Rally,ETF Trends,0.43123,Bullish,0.427397,0.740611
20230609T165900,AAPL,"Apple, Amazon must face consumer lawsuit over iPhone, iPad prices, US judge rules",Reuters,-0.207489,Somewhat-Bearish,-0.212431,1.000000
20230612T124300,AAPL,Bank of America execs blew $93.6 billion. Here’s how they did it.,MarketWatch,-0.063677,Neutral,0.325319,0.711018
20230612T130300,AAPL,Apple Vision Pro’s External Displays from LG Display; Internal Displays from Sony,Businesskorea,0.16473,Somewhat-Bullish,0.102929,0.713696
20230613T085843,AAPL,The 3 Best ETFs to Buy to Balance Risk and Reward,InvestorPlace,0.357368,Bullish,0.305290,0.601008
20230614T002558,AAPL,"Labor Ruling Offers Unionization Path to Uber, Lyft Drivers",GovTech,-0.150422,Somewhat-Bearish,-0.109379,0.609335
