time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20231101T090000,AAPL,MOAT: History May Not Repeat Itself (BATS:MOAT),Seeking Alpha,0.339725,Somewhat-Bullish,0.442786,0.638667
20231101T130926,AAPL,How To Give Your Passive Investing Approach Some Much-Needed Oomph,Finimize,0.440937,Bullish,0.511688,0.595297
20231101T143012,AAPL,DarioHealth launches smart blood sugar meter for iPhone 15,MassDevice,0.306598,Somewhat-Bullish,0.335622,0.749587
20231101T194242,AAPL,Disney to pay at least $8.6 billion for Comcast’s Hulu stake,Los Angeles Times,0.143264,Neutral,0.074910,0.585153
20231102T040945,AAPL,REX FANG & Innovation Equity Premium Income ETF,ETF Database,0.367291,Bullish,0.309974,0.710146
20231102T163200,AAPL,"Apple now has $162 billion in cash on hand, slightly less than last quarter",CNBC,0.02841,Neutral,0.038626,1.000000
20231102T195514,AAPL,Globalstar's new CEO keeps things vague – for now,Light Reading,0.121457,Neutral,0.110889,0.634636
20231103T202009,AAPL,Understanding the Role of Chatbots in Virtual Care Delivery,TechTarget,0.132662,Neutral,0.112294,0.648404
20231104T110500,AAPL,'We're Changing the Structure:' GM's Software Boss Steps Down Amid Major Overhaul,Motor1.com,0.012201,Neutral,-0.143159,0.636512
20231104T195824,AAPL,"Cyberattack Hits Infosys' McCamish Systems, Disrupting Operations",Outlook Business,-0.223969,Somewhat-Bearish,-0.228963,0.729432
20231105T152125,AAPL,On-device AI chips: New battleground for chipmakers,The Korea Economic Daily Global Edition,0.24138,Somewhat-Bullish,0.196917,0.759425
20231106T102400,AAPL,Starbucks raising wages at least 3% starting Jan. 1,Fox Business,0.365009,Bullish,0.320061,0.639207
20231107T153300,AAPL,Why Warren Buffett has done more to educate investors than any other corporate executive,MarketWatch,0.180781,Somewhat-Bullish,0.317005,0.736611
