time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20231201T150300,AAPL,One ETF that focuses on employee happiness is outperforming the market this year,CNBC,0.326176,Somewhat-Bullish,0.300698,0.601235
20231201T193221,AAPL,"Walmart stops advertising on X, adding to growing list of companies",Fox Business,-0.208225,Somewhat-Bearish,-0.247165,0.613092
20231202T184518,AAPL,Amkor to invest US$2bn in US chip packaging,Taipei Times,0.389703,Bullish,0.425833,0.701165
20231203T102600,AAPL,Sonos roadmap reveals multiple audio launches intended in 2024,AppleInsider,0.064419,Neutral,-0.123607,0.749837
20231204T033938,AAPL,This Growth-Focused ETF Makes for an Excellent Long-Term Investment,Baystreet.ca,0.267462,Somewhat-Bullish,0.344811,0.738768
20231205T054011,AAPL,Hartford US Quality Growth ETF Holdings,Quiver Quantitative,0.293475,Somewhat-Bullish,0.252947,0.822594
20231205T190704,AAPL,美股科技股“疯牛”行情未完待续? AI仍是引爆明年行情的关键,新浪财经,0.376153,Bullish,0.345871,0.679975
20231206T000000,AAPL,Amex CEO talks co-brand partnerships after Apple reports,Payments Dive,0.154316,Somewhat-Bullish,0.104142,0.798616
20231206T144551,AAPL,Why Investors Should Keep An Eye on Small-Cap Stocks,Morningstar,-0.100525,Neutral,-0.139735,0.604669
20231207T020942,AAPL,CastleArk Enters ETF Market With Large Growth ETF CARK,ETF Database,0.161287,Somewhat-Bullish,0.106796,0.637226
20231207T141700,AAPL,Who’s ready for a Gamestop mutual fund? Not this broker,Proactive Investors,-0.102544,Neutral,0.148269,0.618308
20231207T144400,AAPL,Tesla’s Dojo Supercomputer Head Exits in Blow to Efforts,Transport Topics,-0.105507,Neutral,-0.124349,0.585846
20231207T193334,AAPL,TIDAL cuts 10% of staff as parent company Block enforces cost-saving measures,Music Business Worldwide,-0.129889,Neutral,0.101997,0.618916
20231207T213849,AAPL,CastleArk Enters ETF Market With Large Growth ETF CARK,ETF Trends,0.343784,Somewhat-Bullish,0.330211,0.604055
20231208T000000,AAPL,"Just 3 of the ""Magnificent Seven"" Have Outperformed the S&P 500 Since 2022. Here's the One I'd Buy for 2024 and 2025.",Barchart.com,0.260985,Somewhat-Bullish,0.311863,0.931314
20231209T031607,AAPL,"Themes Generative Artificial Intelligence ETF ETF Price, Holdings, & News (NASDAQ:WISE)",MarketBeat,0.278178,Somewhat-Bullish,0.343753,0.608270
20231209T190057,AAPL,'You have to be difficult': How Gap and J.Crew icon Mickey Drexler became the king of mall-brand retail,Fast Company,0.087774,Neutral,0.119126,0.723103
20231211T192035,AAPL,The Nasdaq-100 Has Had a Monster 2023 So Far. Is It Too Late to Invest in It Before 2024 Arrives?,The Globe and Mail,0.349178,Somewhat-Bullish,0.322838,0.743661
20231212T133200,AAPL,"Apple supplier Corning to set up Rs 1,000 crore Gorilla Glass facility in Tamil Nadu",Dailyo,0.429531,Bullish,0.301606,0.714785
20231212T184317,AAPL,How Google’s Epic Legal Defeat Threatens the App-Store Industry’s $200 Billion Business Model,Time Magazine,-0.013358,Neutral,-0.273538,0.951840
20231212T190414,AAPL,Buffett's Berkshire Slashes Losing HP Bet by Nearly 60% in 3 Months,markets.businessinsider.com,-0.102985,Neutral,0.005163,0.729283
20231213T002816,AAPL,DGRW Has Hallmarks of a Great Dividend ETF,ETF Trends,0.401647,Bullish,0.309146,0.620813
20231213T204136,AAPL,DGRW Has Hallmarks of a Great Dividend ETF,ETF Trends,0.426877,Bullish,0.331842,0.625513
20231214T000000,AAPL,The Apple Inc (AAPL) DCF Valuation: Is The Stock Undervalued?,The Acquirer's Multiple,-0.428317,Bearish,-0.407475,0.972548
20231215T122300,AAPL,"US Chamber, Comcast, tech group split over net neutrality",Reuters,0.105327,Neutral,0.216683,0.713414
20231216T033200,AAPL,Focus: Exxon's low US tax payments ruffle Biden's climate agenda,Reuters,-0.150839,Somewhat-Bearish,-0.123941,0.642799
20231216T192418,AAPL,Call translation services new battleground in AI race,Korea JoongAng Daily,0.307566,Somewhat-Bullish,0.291727,0.722391
20231218T233300,AAPL,Apple Races to Tweak Software Ahead of Looming US Watch Ban,Bloomberg.com,-0.326959,Somewhat-Bearish,-0.301690,1.000000
20231219T153015,AAPL,"Qorvo to sell Chinese assembly, test factories to Luxshare ...",eeNews Europe,0.275042,Somewhat-Bullish,0.338027,0.743372
